Unnamed: 0,Airline,Source,Destination,Total_Stops,Price,Journey_day,Journey_month,Dep_hour,Dep_minute,Arrival_hour,Arrival_minute,dur_hours,dur_minutes
2652,Jet Airways,Delhi,Cochin,1 stop,17234,3,3,19,15,4,25,9,10
6632,Jet Airways,Delhi,Cochin,1 stop,12373,9,5,19,45,4,25,8,40
9966,Air India,Delhi,Cochin,2 stops,13591,6,6,16,55,19,15,26,20
6327,Multiple carriers,Delhi,Cochin,1 stop,14848,3,6,10,0,19,15,9,15
7546,Multiple carriers,Delhi,Cochin,1 stop,7354,12,6,11,25,19,15,7,50
4757,Jet Airways,Delhi,Cochin,1 stop,14714,1,6,17,30,4,25,10,55
6962,Jet Airways,Kolkata,Banglore,1 stop,13759,24,3,19,45,20,40,24,55
7238,Jet Airways,Mumbai,Hyderabad,non-stop,2228,21,3,19,35,21,5,1,30
4461,SpiceJet,Chennai,Kolkata,non-stop,3543,15,5,17,45,20,5,2,20
4098,IndiGo,Mumbai,Hyderabad,non-stop,4049,6,6,6,25,7,55,1,30
5576,Air India,Delhi,Cochin,2 stops,9417,9,5,13,15,9,25,20,10
5398,Multiple carriers,Delhi,Cochin,1 stop,6007,27,6,12,50,21,0,8,10
7818,Air India,Chennai,Kolkata,non-stop,7082,15,3,11,40,13,55,2,15
2504,GoAir,Banglore,New Delhi,non-stop,5706,9,3,20,55,23,50,2,55
6749,Air Asia,Delhi,Cochin,1 stop,10794,9,6,20,45,7,10,10,25
3789,Vistara,Banglore,Delhi,non-stop,5403,21,4,11,30,14,20,2,50
922,SpiceJet,Kolkata,Banglore,non-stop,3815,27,3,22,20,0,40,2,20
1647,GoAir,Delhi,Cochin,1 stop,5135,6,4,10,35,19,35,9,0
7493,IndiGo,Banglore,New Delhi,non-stop,6860,15,3,8,30,11,30,3,0
3524,Air India,Delhi,Cochin,2 stops,10231,27,5,22,0,19,15,21,15
461,Jet Airways,Banglore,Delhi,non-stop,7229,1,5,19,50,22,50,3,0
6199,Air India,Delhi,Cochin,2 stops,8971,27,3,5,55,7,40,25,45
10390,GoAir,Kolkata,Banglore,non-stop,3514,15,6,15,20,17,55,2,35
5822,Jet Airways,Mumbai,Hyderabad,non-stop,4995,21,6,7,5,8,30,1,25
9118,IndiGo,Mumbai,Hyderabad,non-stop,4049,3,5,6,25,7,55,1,30
5929,Air Asia,Banglore,Delhi,non-stop,3383,21,6,23,55,2,45,2,50
275,IndiGo,Mumbai,Hyderabad,non-stop,2754,15,3,21,20,22,45,1,25
9166,SpiceJet,Kolkata,Banglore,1 stop,8479,24,5,11,35,18,50,7,15
8420,GoAir,Kolkata,Banglore,1 stop,6945,15,5,23,30,7,45,8,15
8458,Jet Airways,Delhi,Cochin,1 stop,10262,9,6,15,0,4,25,13,25
4251,IndiGo,Delhi,Cochin,1 stop,6027,9,5,17,5,22,25,5,20
10217,IndiGo,Kolkata,Banglore,non-stop,4804,27,6,17,15,19,50,2,35
9309,Multiple carriers,Delhi,Cochin,1 stop,9646,21,5,9,45,18,10,8,25
718,IndiGo,Mumbai,Hyderabad,non-stop,3175,12,6,16,55,18,25,1,30
3152,Jet Airways,Delhi,Cochin,2 stops,12347,21,3,18,25,4,25,34,0
9715,Jet Airways Business,Delhi,Cochin,2 stops,52285,6,3,20,5,4,25,8,20
5113,Jet Airways,Kolkata,Banglore,1 stop,14151,12,5,9,35,19,10,9,35
3601,Jet Airways,Delhi,Cochin,2 stops,12819,27,6,23,5,19,0,19,55
10494,IndiGo,Delhi,Cochin,non-stop,5000,18,6,14,20,17,35,3,15
4758,Vistara,Kolkata,Banglore,1 stop,8610,6,5,7,10,20,20,13,10
9251,Jet Airways,Kolkata,Banglore,1 stop,9663,6,5,6,30,20,45,14,15
10137,Jet Airways,Kolkata,Banglore,1 stop,10844,18,5,18,55,18,15,23,20
9587,Air Asia,Banglore,Delhi,non-stop,4282,15,5,4,55,7,45,2,50
8673,Air India,Mumbai,Hyderabad,non-stop,3100,1,6,21,5,22,25,1,20
9096,IndiGo,Banglore,Delhi,non-stop,3943,21,5,10,10,13,0,2,50
7738,Jet Airways,Banglore,New Delhi,1 stop,10972,18,3,14,5,7,40,17,35
10541,IndiGo,Mumbai,Hyderabad,non-stop,12475,1,3,21,20,22,45,1,25
4479,Jet Airways,Delhi,Cochin,2 stops,15129,24,5,23,5,4,25,29,20
5899,SpiceJet,Banglore,Delhi,non-stop,3573,9,5,5,55,8,35,2,40
4173,Jet Airways,Delhi,Cochin,1 stop,6540,27,3,9,55,4,25,18,30
5466,Jet Airways,Delhi,Cochin,2 stops,11543,21,3,5,40,4,25,22,45
2321,Air India,Banglore,New Delhi,2 stops,10573,3,3,6,45,23,55,17,10
3439,Jet Airways,Delhi,Cochin,1 stop,17024,6,3,2,15,18,50,16,35
9717,Air India,Delhi,Cochin,2 stops,10975,18,5,9,45,9,25,23,40
10177,Jet Airways,Banglore,Delhi,non-stop,4030,9,5,6,0,8,45,2,45
7338,IndiGo,Banglore,Delhi,non-stop,4823,27,4,16,55,19,55,3,0
9833,Jet Airways,Kolkata,Banglore,1 stop,13759,24,3,21,10,18,10,21,0
5789,Jet Airways,Kolkata,Banglore,1 stop,12739,12,6,21,10,4,40,7,30
9385,Jet Airways,Banglore,Delhi,non-stop,8016,15,6,17,45,20,45,3,0
5687,Vistara,Chennai,Kolkata,non-stop,3687,3,5,7,5,9,20,2,15
5352,Jet Airways,Kolkata,Banglore,1 stop,8586,1,5,20,0,4,40,8,40
2335,Jet Airways,Kolkata,Banglore,1 stop,13044,12,6,20,0,12,0,16,0
8008,Air India,Kolkata,Banglore,1 stop,6528,15,5,14,35,14,35,24,0
2438,Multiple carriers,Delhi,Cochin,1 stop,8535,9,4,17,45,1,30,7,45
8740,Multiple carriers,Delhi,Cochin,1 stop,7530,1,6,19,0,1,30,6,30
20,GoAir,Delhi,Cochin,1 stop,19495,6,3,14,10,19,20,5,10
3830,Jet Airways,Delhi,Cochin,2 stops,16274,21,5,5,30,12,35,7,5
1345,Air India,Delhi,Cochin,1 stop,8361,18,5,17,40,8,15,14,35
4577,Air India,Delhi,Cochin,1 stop,6482,21,3,17,20,9,25,16,5
315,Air India,Delhi,Cochin,2 stops,13465,6,6,18,45,19,15,24,30
6806,Multiple carriers,Delhi,Cochin,1 stop,7198,9,6,10,0,1,30,15,30
5319,Multiple carriers,Delhi,Cochin,1 stop,9508,27,5,10,0,1,30,15,30
1473,IndiGo,Chennai,Kolkata,non-stop,3850,18,5,7,55,10,15,2,20
6528,IndiGo,Banglore,Delhi,non-stop,4823,18,6,20,0,22,50,2,50
1450,Jet Airways,Delhi,Cochin,1 stop,5406,1,4,16,0,12,35,20,35
2426,SpiceJet,Mumbai,Hyderabad,non-stop,1965,18,3,22,45,0,10,1,25
2801,Vistara,Banglore,Delhi,non-stop,4878,27,5,19,30,22,15,2,45
6396,Jet Airways,Delhi,Cochin,1 stop,5177,6,4,11,30,12,35,25,5
10156,Multiple carriers,Delhi,Cochin,1 stop,8601,27,3,8,25,19,15,10,50
7808,Jet Airways,Mumbai,Hyderabad,non-stop,5678,27,3,15,50,17,20,1,30
5504,Multiple carriers,Delhi,Cochin,1 stop,7198,27,5,18,0,1,30,7,30
7562,Multiple carriers,Delhi,Cochin,1 stop,13587,9,6,2,15,11,30,9,15
3814,IndiGo,Kolkata,Banglore,1 stop,5069,24,5,8,10,13,0,4,50
1399,IndiGo,Delhi,Cochin,1 stop,13753,3,3,5,35,10,10,4,35
6939,Jet Airways,Delhi,Cochin,1 stop,14714,1,6,15,0,19,0,28,0
3876,Air India,Delhi,Cochin,2 stops,13039,15,5,17,15,19,15,26,0
6177,Multiple carriers,Delhi,Cochin,1 stop,13587,27,6,7,5,21,0,13,55
7073,IndiGo,Banglore,Delhi,non-stop,3419,6,5,22,10,1,0,2,50
9996,Multiple carriers,Delhi,Cochin,2 stops,15965,27,6,15,5,1,30,10,25
747,Air Asia,Banglore,Delhi,non-stop,4483,18,4,11,10,13,55,2,45
4956,Multiple carriers,Delhi,Cochin,1 stop,9794,9,5,6,0,19,0,13,0
7899,SpiceJet,Kolkata,Banglore,1 stop,8224,18,5,15,55,21,25,5,30
2382,Vistara,Kolkata,Banglore,1 stop,9187,1,5,7,10,10,45,27,35
8166,IndiGo,Delhi,Cochin,1 stop,4744,3,4,2,0,7,25,5,25
6399,Jet Airways,Delhi,Cochin,1 stop,14714,3,6,16,0,12,35,20,35
3836,Jet Airways,Banglore,New Delhi,1 stop,13555,18,3,22,50,9,0,10,10
9517,Air India,Kolkata,Banglore,2 stops,12723,15,5,5,50,8,55,27,5
5685,IndiGo,Mumbai,Hyderabad,non-stop,4784,6,3,21,20,22,45,1,25
7064,Jet Airways,Kolkata,Banglore,1 stop,8586,15,5,16,30,23,35,7,5
4206,Jet Airways,Delhi,Cochin,2 stops,17019,9,3,13,45,4,25,14,40
8154,Jet Airways,Delhi,Cochin,1 stop,10262,1,6,9,0,4,25,19,25
7728,Jet Airways,Banglore,Delhi,non-stop,4544,9,4,19,50,22,50,3,0
8422,Jet Airways,Mumbai,Hyderabad,non-stop,8040,15,3,7,10,8,35,1,25
6414,Air India,Delhi,Cochin,non-stop,8456,9,6,18,5,21,10,3,5
3938,Vistara,Banglore,Delhi,non-stop,4878,6,5,17,0,19,35,2,35
2699,Jet Airways,Delhi,Cochin,1 stop,12898,21,5,17,30,12,35,19,5
5262,IndiGo,Delhi,Cochin,1 stop,6442,12,6,8,35,22,30,13,55
4259,Air India,Kolkata,Banglore,2 stops,13227,9,5,16,45,8,55,16,10
10,Air India,Delhi,Cochin,1 stop,8907,1,6,9,45,23,0,13,15
8933,Jet Airways,Delhi,Cochin,1 stop,10262,6,6,21,50,4,25,6,35
2222,Jet Airways,Delhi,Cochin,1 stop,17024,6,3,23,5,19,45,20,40
8126,Jet Airways,Delhi,Cochin,1 stop,12898,21,5,10,0,12,35,26,35
6057,Jet Airways,Delhi,Cochin,1 stop,10262,9,6,13,0,19,0,6,0
2191,Jet Airways,Delhi,Cochin,2 stops,14300,27,6,18,20,12,35,18,15
96,SpiceJet,Banglore,Delhi,non-stop,3257,15,5,5,55,8,35,2,40
4600,Jet Airways,Delhi,Cochin,1 stop,10262,6,6,14,0,19,0,5,0
9391,IndiGo,Delhi,Cochin,1 stop,6979,15,5,11,25,21,0,9,35
6901,Jet Airways,Banglore,New Delhi,1 stop,22270,1,3,14,5,8,15,18,10
3304,Air India,Banglore,New Delhi,2 stops,11003,3,3,10,30,21,25,10,55
6531,IndiGo,Kolkata,Banglore,non-stop,4804,18,5,15,30,18,5,2,35
7733,Air India,Kolkata,Banglore,non-stop,4145,3,6,20,45,23,20,2,35
9266,Jet Airways,Banglore,New Delhi,1 stop,22270,6,3,5,45,12,25,6,40
543,Jet Airways,Kolkata,Banglore,1 stop,13759,24,3,8,25,16,20,7,55
10112,Jet Airways,Delhi,Cochin,2 stops,15129,18,5,5,30,4,25,22,55
3514,Jet Airways,Delhi,Cochin,2 stops,15129,6,5,9,40,12,35,26,55
9546,Air India,Banglore,New Delhi,non-stop,12526,1,3,13,20,16,10,2,50
2101,SpiceJet,Chennai,Kolkata,non-stop,3597,24,5,17,45,20,5,2,20
9985,Multiple carriers,Delhi,Cochin,1 stop,10486,27,5,9,45,22,30,12,45
9109,Vistara,Kolkata,Banglore,1 stop,9555,18,5,17,0,20,20,27,20
1302,Jet Airways,Kolkata,Banglore,1 stop,14781,21,5,6,30,18,15,11,45
8797,Jet Airways,Kolkata,Banglore,1 stop,14571,6,6,14,5,20,45,6,40
4536,SpiceJet,Kolkata,Banglore,non-stop,3841,18,6,22,20,0,40,2,20
9071,Vistara,Kolkata,Banglore,1 stop,9345,24,5,20,20,23,25,27,5
10632,Jet Airways,Kolkata,Banglore,1 stop,12692,6,6,17,0,10,55,17,55
10241,Multiple carriers,Delhi,Cochin,1 stop,13069,21,3,8,25,18,50,10,25
2232,Jet Airways,Delhi,Cochin,1 stop,10577,12,6,8,0,4,25,20,25
6684,Jet Airways,Delhi,Cochin,2 stops,13376,24,6,14,35,12,35,22,0
2814,Air India,Banglore,New Delhi,3 stops,13387,12,3,17,25,18,5,24,40
5591,Jet Airways,Banglore,New Delhi,1 stop,7832,21,3,11,40,11,25,23,45
6775,Jet Airways,Banglore,New Delhi,1 stop,16736,6,3,8,0,23,0,15,0
5038,Vistara,Delhi,Cochin,non-stop,8001,6,3,14,55,17,50,2,55
8000,Jet Airways,Banglore,New Delhi,1 stop,11087,18,3,11,40,10,25,22,45
2076,Jet Airways,Kolkata,Banglore,1 stop,14571,6,6,8,25,19,50,11,25
106,Multiple carriers,Delhi,Cochin,1 stop,11421,27,3,11,40,18,50,7,10
10650,Jet Airways,Kolkata,Banglore,1 stop,12384,15,5,9,35,18,0,8,25
5652,Jet Airways,Delhi,Cochin,2 stops,12273,27,3,6,20,4,25,22,5
4279,Jet Airways,Kolkata,Banglore,1 stop,12681,1,4,20,0,22,35,26,35
831,Multiple carriers,Delhi,Cochin,1 stop,9627,9,5,8,30,19,0,10,30
5586,Jet Airways,Mumbai,Hyderabad,non-stop,4995,27,6,7,5,8,30,1,25
184,IndiGo,Chennai,Kolkata,non-stop,3858,12,5,14,45,17,5,2,20
707,Jet Airways,Kolkata,Banglore,1 stop,13941,9,5,8,25,4,40,20,15
7017,Jet Airways,Delhi,Cochin,2 stops,8456,27,3,19,10,4,25,9,15
2375,Jet Airways,Delhi,Cochin,1 stop,10262,3,6,22,50,4,25,5,35
5755,IndiGo,Kolkata,Banglore,1 stop,7228,21,5,21,0,2,15,5,15
4321,Jet Airways,Kolkata,Banglore,1 stop,13759,24,3,8,25,4,45,20,20
10624,Vistara,Kolkata,Banglore,1 stop,8662,6,6,20,20,22,40,26,20
3133,Vistara,Kolkata,Banglore,1 stop,12102,24,3,17,0,22,10,29,10
2249,Multiple carriers,Delhi,Cochin,1 stop,5797,24,6,10,20,1,30,15,10
7773,IndiGo,Banglore,Delhi,non-stop,4591,21,4,10,10,13,0,2,50
7594,Vistara,Delhi,Cochin,non-stop,6216,3,6,14,40,17,50,3,10
1948,Multiple carriers,Delhi,Cochin,2 stops,18275,27,6,17,50,1,30,7,40
6729,Jet Airways,Kolkata,Banglore,1 stop,14151,18,5,17,0,23,35,6,35
448,Jet Airways,Kolkata,Banglore,1 stop,9663,15,5,18,55,4,40,9,45
2542,Jet Airways,Delhi,Cochin,1 stop,14714,3,6,17,30,4,25,10,55
8823,Vistara,Banglore,Delhi,non-stop,4878,1,6,9,45,12,35,2,50
9014,IndiGo,Mumbai,Hyderabad,non-stop,4049,27,6,6,25,7,55,1,30
3397,Air India,Chennai,Kolkata,non-stop,4667,27,5,11,40,13,55,2,15
8054,Air India,Banglore,Delhi,non-stop,6121,24,4,13,20,16,10,2,50
9416,Jet Airways,Delhi,Cochin,2 stops,13029,21,5,9,40,4,25,18,45
9390,IndiGo,Kolkata,Banglore,non-stop,4804,21,4,21,25,0,5,2,40
5065,Jet Airways,Mumbai,Hyderabad,non-stop,5678,1,6,2,55,4,20,1,25
7166,IndiGo,Delhi,Cochin,1 stop,6628,12,6,9,15,1,30,16,15
3579,Jet Airways,Kolkata,Banglore,1 stop,10031,24,3,21,10,20,40,23,30
4629,SpiceJet,Kolkata,Banglore,non-stop,3873,3,5,6,55,9,30,2,35
3249,IndiGo,Kolkata,Banglore,non-stop,4174,6,4,15,15,17,45,2,30
9553,Jet Airways,Kolkata,Banglore,1 stop,7064,1,4,8,25,18,15,9,50
7537,Jet Airways,Banglore,New Delhi,1 stop,26890,1,3,5,45,18,25,12,40
9713,Vistara,Banglore,New Delhi,non-stop,6138,15,3,9,50,12,35,2,45
1056,Jet Airways,Banglore,Delhi,non-stop,6144,18,5,8,20,11,20,3,0
9465,Air India,Delhi,Cochin,1 stop,8372,9,5,9,0,19,15,10,15
9868,Jet Airways,Delhi,Cochin,1 stop,12898,27,5,11,30,4,25,16,55
3255,Air Asia,Delhi,Cochin,1 stop,11410,1,6,16,45,7,10,14,25
753,Air India,Delhi,Cochin,1 stop,8582,1,6,21,0,19,15,22,15
6746,IndiGo,Delhi,Cochin,1 stop,6628,6,6,18,35,1,30,6,55
3589,Air India,Mumbai,Hyderabad,non-stop,3100,18,6,13,55,15,25,1,30
5803,IndiGo,Banglore,New Delhi,non-stop,4944,24,3,23,30,2,20,2,50
1545,Vistara,Kolkata,Banglore,1 stop,8610,6,5,7,10,18,50,11,40
4657,Vistara,Banglore,Delhi,non-stop,4668,24,6,7,0,9,40,2,40
5931,Air Asia,Banglore,Delhi,non-stop,3383,27,5,4,55,7,45,2,50
3069,Air Asia,Delhi,Cochin,1 stop,6253,15,6,7,55,13,25,5,30
783,IndiGo,Delhi,Cochin,1 stop,6938,1,6,16,10,22,30,6,20
7281,IndiGo,Delhi,Cochin,1 stop,6314,21,3,4,45,21,0,16,15
480,Jet Airways,Kolkata,Banglore,1 stop,8529,12,6,20,0,12,0,16,0
5846,IndiGo,Kolkata,Banglore,non-stop,6565,1,3,17,15,19,55,2,40
10263,Jet Airways,Banglore,Delhi,non-stop,7754,21,6,18,55,22,0,3,5
6619,Multiple carriers,Delhi,Cochin,1 stop,10678,24,6,4,55,19,0,14,5
3536,Air India,Delhi,Cochin,2 stops,11753,27,6,10,55,19,15,8,20
2258,Jet Airways,Banglore,New Delhi,1 stop,12284,18,3,8,0,15,15,7,15
2124,Jet Airways,Kolkata,Banglore,1 stop,10031,24,3,19,45,20,40,24,55
6713,SpiceJet,Delhi,Cochin,1 stop,5158,9,6,8,45,13,15,4,30
1504,IndiGo,Banglore,Delhi,non-stop,4077,9,6,1,30,4,15,2,45
3621,Jet Airways,Delhi,Cochin,1 stop,12373,18,5,19,15,19,0,23,45
8335,Jet Airways,Delhi,Cochin,1 stop,10262,1,6,15,0,4,25,13,25
728,Jet Airways,Delhi,Cochin,2 stops,10368,12,6,9,40,12,35,26,55
6753,Air Asia,Kolkata,Banglore,non-stop,4508,6,6,19,55,22,25,2,30
8909,Jet Airways,Kolkata,Banglore,1 stop,14151,9,5,9,35,22,5,12,30
1774,IndiGo,Delhi,Cochin,1 stop,6093,24,6,8,30,21,0,12,30
255,SpiceJet,Mumbai,Hyderabad,non-stop,3173,21,3,13,10,14,30,1,20
6867,GoAir,Delhi,Cochin,1 stop,5281,27,3,10,25,19,20,8,55
10660,Vistara,Banglore,New Delhi,non-stop,4878,21,3,21,10,0,5,2,55
8207,Air India,Kolkata,Banglore,2 stops,11752,9,6,16,50,13,45,20,55
8879,IndiGo,Kolkata,Banglore,non-stop,4148,27,3,9,35,12,20,2,45
8629,Jet Airways,Kolkata,Banglore,1 stop,13364,1,4,21,10,8,15,11,5
8187,IndiGo,Kolkata,Banglore,non-stop,4174,3,4,9,35,12,20,2,45
1278,Vistara,Kolkata,Banglore,1 stop,8452,15,5,20,20,10,45,14,25
2984,Air India,Delhi,Cochin,1 stop,8372,21,5,13,0,19,15,6,15
1088,Jet Airways,Delhi,Cochin,2 stops,13014,12,6,19,30,12,35,17,5
2171,Air India,Kolkata,Banglore,2 stops,10151,9,6,12,0,11,10,23,10
4849,Jet Airways,Banglore,Delhi,non-stop,5769,18,6,7,10,10,10,3,0
1211,SpiceJet,Delhi,Cochin,1 stop,5726,3,6,8,45,13,15,4,30
1424,Jet Airways,Mumbai,Hyderabad,2 stops,24115,6,3,14,20,16,50,26,30
8317,Jet Airways,Delhi,Cochin,1 stop,10262,1,6,11,30,12,35,25,5
9095,SpiceJet,Delhi,Cochin,1 stop,5583,15,4,6,5,11,20,5,15
2445,Multiple carriers,Delhi,Cochin,1 stop,8476,18,5,6,0,19,15,13,15
2452,Multiple carriers,Delhi,Cochin,1 stop,16108,15,6,10,0,19,15,9,15
7847,Jet Airways,Kolkata,Banglore,1 stop,14231,24,3,16,55,12,0,19,5
325,Jet Airways,Delhi,Cochin,1 stop,16079,27,5,17,30,19,0,25,30
5487,Jet Airways,Delhi,Cochin,1 stop,16289,9,3,6,50,19,45,12,55
5207,Jet Airways,Kolkata,Banglore,1 stop,9663,9,5,20,0,12,0,16,0
557,Air India,Banglore,Delhi,non-stop,6961,9,6,13,20,16,10,2,50
4958,Multiple carriers,Delhi,Cochin,1 stop,13377,1,6,17,30,1,30,8,0
10266,Jet Airways,Delhi,Cochin,2 stops,10368,3,6,9,40,12,35,26,55
